Raw file	m/z	Peaks / Da	Single peaks / Da	Isotope patterns / Da	Single isotope patterns / Da	SILAC pairs / Da	Identified SILAC pairs / Da	SILAC identification rate [%]	MS/MS / Da	Identified MS/MS / Da	Identification rate [%]
PR489_Michele_2020316_SPL4-2_r1	110	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	111	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	112	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	113	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	114	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	115	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	116	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	117	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	118	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	119	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	120	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	121	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	122	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	123	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	124	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	125	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	126	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	127	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	128	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	129	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	130	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	131	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	132	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	133	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	134	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	135	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	136	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	137	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	138	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	139	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	140	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	141	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	142	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	143	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	144	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	145	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	146	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	147	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	148	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	149	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	150	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	151	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	152	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	153	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	154	0	0	0	0	0	0	NaN	0	0	
PR489_Michele_2020316_SPL4-2_r1	155	0	0	0	0	0	0	NaN	0	0	
